configuration,comid,date,discharge
short_range,18228981,2016-07-13 03:00:00,0.0901
short_range,18228981,2016-07-13 04:00:00,0.0901
short_range,18228981,2016-07-13 05:00:00,0.0901
short_range,18228981,2016-07-13 06:00:00,0.0901
short_range,18228981,2016-07-13 07:00:00,0.09
short_range,18228981,2016-07-13 08:00:00,0.09
short_range,18228981,2016-07-13 09:00:00,0.09
short_range,18228981,2016-07-13 10:00:00,0.0899
short_range,18228981,2016-07-13 11:00:00,0.0899
short_range,18228981,2016-07-13 12:00:00,0.0899
short_range,18228981,2016-07-13 13:00:00,0.0898
short_range,18228981,2016-07-13 14:00:00,0.0897
short_range,18228981,2016-07-13 15:00:00,0.0895
short_range,18228803,2016-07-13 01:00:00,1.3262
short_range,18228803,2016-07-13 02:00:00,0.8533
short_range,18228803,2016-07-13 03:00:00,0.852
short_range,18228803,2016-07-13 04:00:00,0.8532
short_range,18228803,2016-07-13 05:00:00,0.8524
short_range,18228803,2016-07-13 06:00:00,0.8516
short_range,18228803,2016-07-13 07:00:00,0.8509
short_range,18228803,2016-07-13 08:00:00,0.8502
short_range,18228803,2016-07-13 09:00:00,0.8495
short_range,18228803,2016-07-13 10:00:00,0.8488
short_range,18228803,2016-07-13 11:00:00,0.8481
short_range,18228803,2016-07-13 12:00:00,0.8475
short_range,18228803,2016-07-13 13:00:00,0.8469
short_range,18228803,2016-07-13 14:00:00,0.8462
short_range,18228803,2016-07-13 15:00:00,0.8456
short_range,18230143,2016-07-13 01:00:00,0.0047
short_range,18230143,2016-07-13 02:00:00,0.0038
short_range,18230143,2016-07-13 03:00:00,0.0038
short_range,18230143,2016-07-13 04:00:00,0.0038
short_range,18230143,2016-07-13 05:00:00,0.0038
short_range,18230143,2016-07-13 06:00:00,0.0038
short_range,18230143,2016-07-13 07:00:00,0.0038
short_range,18230143,2016-07-13 08:00:00,0.0038
short_range,18230143,2016-07-13 09:00:00,0.0038
short_range,18230143,2016-07-13 10:00:00,0.0038
short_range,18230143,2016-07-13 11:00:00,0.0038
short_range,18230143,2016-07-13 12:00:00,0.0038
short_range,18230143,2016-07-13 13:00:00,0.0038
short_range,18230143,2016-07-13 14:00:00,0.0038
short_range,18230143,2016-07-13 15:00:00,0.0038
short_range,18229043,2016-07-13 01:00:00,0.0151
short_range,18229043,2016-07-13 02:00:00,0.0148
short_range,18229043,2016-07-13 03:00:00,0.0148
short_range,18229043,2016-07-13 04:00:00,0.0148
short_range,18229043,2016-07-13 05:00:00,0.0148
short_range,18229043,2016-07-13 06:00:00,0.0148
short_range,18229043,2016-07-13 07:00:00,0.0148
short_range,18229043,2016-07-13 08:00:00,0.0148
short_range,18229043,2016-07-13 09:00:00,0.0148
short_range,18229043,2016-07-13 10:00:00,0.0148
short_range,18229043,2016-07-13 11:00:00,0.0148
short_range,18229043,2016-07-13 12:00:00,0.0148
short_range,18229043,2016-07-13 13:00:00,0.0148
short_range,18229043,2016-07-13 14:00:00,0.0147
short_range,18229043,2016-07-13 15:00:00,0.0147
short_range,18228911,2016-07-13 01:00:00,0.0883
short_range,18228911,2016-07-13 02:00:00,0.0756
short_range,18228911,2016-07-13 03:00:00,0.0756
short_range,18228911,2016-07-13 04:00:00,0.0755
short_range,18228911,2016-07-13 05:00:00,0.0755
short_range,18228911,2016-07-13 06:00:00,0.0754
short_range,18228911,2016-07-13 07:00:00,0.0753
short_range,18228911,2016-07-13 08:00:00,0.0753
short_range,18228911,2016-07-13 09:00:00,0.0752
short_range,18228911,2016-07-13 10:00:00,0.0751
short_range,18228911,2016-07-13 11:00:00,0.0751
short_range,18228911,2016-07-13 12:00:00,0.075
short_range,18228911,2016-07-13 13:00:00,0.0749
short_range,18228911,2016-07-13 14:00:00,0.0749
short_range,18228911,2016-07-13 15:00:00,0.0748
short_range,18228925,2016-07-13 01:00:00,0.0818
short_range,18228925,2016-07-13 02:00:00,0.0821
short_range,18228925,2016-07-13 03:00:00,0.0821
short_range,18228925,2016-07-13 04:00:00,0.082
short_range,18228925,2016-07-13 05:00:00,0.0819
short_range,18228925,2016-07-13 06:00:00,0.0819
short_range,18228925,2016-07-13 07:00:00,0.0818
short_range,18228925,2016-07-13 08:00:00,0.0818
short_range,18228925,2016-07-13 09:00:00,0.0817
short_range,18228925,2016-07-13 10:00:00,0.0816
short_range,18228925,2016-07-13 11:00:00,0.0816
short_range,18228925,2016-07-13 12:00:00,0.0815
short_range,18228925,2016-07-13 13:00:00,0.0815
short_range,18228925,2016-07-13 14:00:00,0.0814
short_range,18228925,2016-07-13 15:00:00,0.0813
short_range,18229005,2016-07-13 01:00:00,0.0335
short_range,18229005,2016-07-13 02:00:00,0.0215
short_range,18229005,2016-07-13 03:00:00,0.0162
short_range,18229005,2016-07-13 04:00:00,0.0139
short_range,18229005,2016-07-13 05:00:00,0.0128
short_range,18229005,2016-07-13 06:00:00,0.0123
short_range,18229005,2016-07-13 07:00:00,0.012
short_range,18229005,2016-07-13 08:00:00,0.0119
short_range,18229005,2016-07-13 09:00:00,0.0119
short_range,18229005,2016-07-13 10:00:00,0.0119
short_range,18229005,2016-07-13 11:00:00,0.0119
short_range,18229005,2016-07-13 12:00:00,0.0118
short_range,18229005,2016-07-13 13:00:00,0.0118
short_range,18229005,2016-07-13 14:00:00,0.0118
short_range,18229005,2016-07-13 15:00:00,0.0118
short_range,18229015,2016-07-13 01:00:00,0.2592
short_range,18229015,2016-07-13 02:00:00,0.2674
short_range,18229015,2016-07-13 03:00:00,0.2593
short_range,18229015,2016-07-13 04:00:00,0.2592
short_range,18229015,2016-07-13 05:00:00,0.259
short_range,18229015,2016-07-13 06:00:00,0.2589
short_range,18229015,2016-07-13 07:00:00,0.2588
short_range,18229015,2016-07-13 08:00:00,0.2587
short_range,18229015,2016-07-13 09:00:00,0.2587
short_range,18229015,2016-07-13 10:00:00,0.2586
short_range,18229015,2016-07-13 11:00:00,0.2586
short_range,18229015,2016-07-13 12:00:00,0.2587
short_range,18229015,2016-07-13 13:00:00,0.2587
short_range,18229015,2016-07-13 14:00:00,0.2588
short_range,18229015,2016-07-13 15:00:00,0.2588
short_range,18228929,2016-07-13 01:00:00,4.3084
short_range,18228929,2016-07-13 02:00:00,1.2705
short_range,18228929,2016-07-13 03:00:00,1.274
short_range,18228929,2016-07-13 04:00:00,1.2732
short_range,18228929,2016-07-13 05:00:00,1.2724
short_range,18228929,2016-07-13 06:00:00,1.2718
short_range,18228929,2016-07-13 07:00:00,1.2712
short_range,18228929,2016-07-13 08:00:00,1.2708
short_range,18228929,2016-07-13 09:00:00,1.2705
short_range,18228929,2016-07-13 10:00:00,1.2704
short_range,18228929,2016-07-13 11:00:00,1.2703
short_range,18228929,2016-07-13 12:00:00,1.2704
short_range,18228929,2016-07-13 13:00:00,1.2706
short_range,18228929,2016-07-13 14:00:00,1.2708
short_range,18228929,2016-07-13 15:00:00,1.2711
short_range,18228919,2016-07-13 01:00:00,1.1041
short_range,18228919,2016-07-13 02:00:00,0.5303
short_range,18228919,2016-07-13 03:00:00,0.5299
short_range,18228919,2016-07-13 04:00:00,0.5295
short_range,18228919,2016-07-13 05:00:00,0.5291
short_range,18228919,2016-07-13 06:00:00,0.5287
short_range,18228919,2016-07-13 07:00:00,0.5283
short_range,18228919,2016-07-13 08:00:00,0.5279
short_range,18228919,2016-07-13 09:00:00,0.5276
short_range,18228919,2016-07-13 10:00:00,0.5273
short_range,18228919,2016-07-13 11:00:00,0.5269
short_range,18228919,2016-07-13 12:00:00,0.5266
short_range,18228919,2016-07-13 13:00:00,0.5263
short_range,18228919,2016-07-13 14:00:00,0.526
short_range,18228919,2016-07-13 15:00:00,0.5257
short_range,18228953,2016-07-13 01:00:00,0.0025
short_range,18228953,2016-07-13 02:00:00,0.0028
short_range,18228953,2016-07-13 03:00:00,0.0028
short_range,18228953,2016-07-13 04:00:00,0.0028
short_range,18228953,2016-07-13 05:00:00,0.0028
short_range,18228953,2016-07-13 06:00:00,0.0028
short_range,18228953,2016-07-13 07:00:00,0.0028
short_range,18228953,2016-07-13 08:00:00,0.0028
short_range,18228953,2016-07-13 09:00:00,0.0028
short_range,18228953,2016-07-13 10:00:00,0.0028
short_range,18228953,2016-07-13 11:00:00,0.0028
short_range,18228953,2016-07-13 12:00:00,0.0029
short_range,18228953,2016-07-13 13:00:00,0.0029
short_range,18228953,2016-07-13 14:00:00,0.0028
short_range,18228953,2016-07-13 15:00:00,0.0028
short_range,18228963,2016-07-13 01:00:00,0.2658
short_range,18228963,2016-07-13 02:00:00,0.274
short_range,18228963,2016-07-13 03:00:00,0.2659
short_range,18228963,2016-07-13 04:00:00,0.2657
short_range,18228963,2016-07-13 05:00:00,0.2656
short_range,18228963,2016-07-13 06:00:00,0.2655
short_range,18228963,2016-07-13 07:00:00,0.2654
short_range,18228963,2016-07-13 08:00:00,0.2653
short_range,18228963,2016-07-13 09:00:00,0.2652
short_range,18228963,2016-07-13 10:00:00,0.2652
short_range,18228963,2016-07-13 11:00:00,0.2652
short_range,18228963,2016-07-13 12:00:00,0.2652
short_range,18228963,2016-07-13 13:00:00,0.2652
short_range,18228963,2016-07-13 14:00:00,0.2653
short_range,18228963,2016-07-13 15:00:00,0.2654
short_range,18229003,2016-07-13 01:00:00,0.0071
short_range,18229003,2016-07-13 02:00:00,0.0071
short_range,18229003,2016-07-13 03:00:00,0.0077
short_range,18229003,2016-07-13 04:00:00,0.0077
short_range,18229003,2016-07-13 05:00:00,0.0077
short_range,18229003,2016-07-13 06:00:00,0.0077
short_range,18229003,2016-07-13 07:00:00,0.0077
short_range,18229003,2016-07-13 08:00:00,0.0077
short_range,18229003,2016-07-13 09:00:00,0.0077
short_range,18229003,2016-07-13 10:00:00,0.0077
short_range,18229003,2016-07-13 11:00:00,0.0077
short_range,18229003,2016-07-13 12:00:00,0.0077
short_range,18229003,2016-07-13 13:00:00,0.0077
short_range,18229003,2016-07-13 14:00:00,0.0077
short_range,18229003,2016-07-13 15:00:00,0.0077
short_range,18228905,2016-07-13 01:00:00,0.905
short_range,18228905,2016-07-13 02:00:00,1.0243
short_range,18228905,2016-07-13 03:00:00,1.0091
short_range,18228905,2016-07-13 04:00:00,1.0034
short_range,18228905,2016-07-13 05:00:00,1.0003
short_range,18228905,2016-07-13 06:00:00,0.9986
short_range,18228905,2016-07-13 07:00:00,0.9976
short_range,18228905,2016-07-13 08:00:00,0.997
short_range,18228905,2016-07-13 09:00:00,0.9965
short_range,18228905,2016-07-13 10:00:00,0.9961
short_range,18228905,2016-07-13 11:00:00,0.9959
short_range,18228905,2016-07-13 12:00:00,0.9956
short_range,18228905,2016-07-13 13:00:00,0.9955
short_range,18228905,2016-07-13 14:00:00,0.9952
short_range,18228905,2016-07-13 15:00:00,0.9948
short_range,18229029,2016-07-13 01:00:00,0.0065
short_range,18229029,2016-07-13 02:00:00,0.0103
short_range,18229029,2016-07-13 03:00:00,0.0135
short_range,18229029,2016-07-13 04:00:00,0.0135
short_range,18229029,2016-07-13 05:00:00,0.0135
short_range,18229029,2016-07-13 06:00:00,0.0135
short_range,18229029,2016-07-13 07:00:00,0.0135
short_range,18229029,2016-07-13 08:00:00,0.0135
short_range,18229029,2016-07-13 09:00:00,0.0135
short_range,18229029,2016-07-13 10:00:00,0.0135
short_range,18229029,2016-07-13 11:00:00,0.0135
short_range,18229029,2016-07-13 12:00:00,0.0135
short_range,18229029,2016-07-13 13:00:00,0.0135
short_range,18229029,2016-07-13 14:00:00,0.0135
short_range,18229029,2016-07-13 15:00:00,0.0135
short_range,18229001,2016-07-13 01:00:00,0.0034
short_range,18229001,2016-07-13 02:00:00,0.0034
short_range,18229001,2016-07-13 03:00:00,0.0042
short_range,18229001,2016-07-13 04:00:00,0.0042
short_range,18229001,2016-07-13 05:00:00,0.0042
short_range,18229001,2016-07-13 06:00:00,0.0042
short_range,18229001,2016-07-13 07:00:00,0.0042
short_range,18229001,2016-07-13 08:00:00,0.0042
short_range,18229001,2016-07-13 09:00:00,0.0042
short_range,18229001,2016-07-13 10:00:00,0.0042
short_range,18229001,2016-07-13 11:00:00,0.0042
short_range,18229001,2016-07-13 12:00:00,0.0042
short_range,18229001,2016-07-13 13:00:00,0.0042
short_range,18229001,2016-07-13 14:00:00,0.0042
short_range,18229001,2016-07-13 15:00:00,0.0041
short_range,18230151,2016-07-13 01:00:00,0.0009
short_range,18230151,2016-07-13 02:00:00,0.0009
short_range,18230151,2016-07-13 03:00:00,0.0009
short_range,18230151,2016-07-13 04:00:00,0.0009
short_range,18230151,2016-07-13 05:00:00,0.0009
short_range,18230151,2016-07-13 06:00:00,0.0009
short_range,18230151,2016-07-13 07:00:00,0.0009
short_range,18230151,2016-07-13 08:00:00,0.0009
short_range,18230151,2016-07-13 09:00:00,0.0009
short_range,18230151,2016-07-13 10:00:00,0.0009
short_range,18230151,2016-07-13 11:00:00,0.0009
short_range,18230151,2016-07-13 12:00:00,0.0009
short_range,18230151,2016-07-13 13:00:00,0.0009
short_range,18230151,2016-07-13 14:00:00,0.0009
short_range,18230151,2016-07-13 15:00:00,0.0009
short_range,18230145,2016-07-13 01:00:00,0.0005
short_range,18230145,2016-07-13 02:00:00,0.0006
short_range,18230145,2016-07-13 03:00:00,0.0006
short_range,18230145,2016-07-13 04:00:00,0.0006
short_range,18230145,2016-07-13 05:00:00,0.0006
short_range,18230145,2016-07-13 06:00:00,0.0006
short_range,18230145,2016-07-13 07:00:00,0.0006
short_range,18230145,2016-07-13 08:00:00,0.0006
short_range,18230145,2016-07-13 09:00:00,0.0006
short_range,18230145,2016-07-13 10:00:00,0.0006
short_range,18230145,2016-07-13 11:00:00,0.0006
short_range,18230145,2016-07-13 12:00:00,0.0006
short_range,18230145,2016-07-13 13:00:00,0.0006
short_range,18230145,2016-07-13 14:00:00,0.0006
short_range,18230145,2016-07-13 15:00:00,0.0006
short_range,18228971,2016-07-13 01:00:00,0.0643
short_range,18228971,2016-07-13 02:00:00,0.0338
short_range,18228971,2016-07-13 03:00:00,0.0338
short_range,18228971,2016-07-13 04:00:00,0.0338
short_range,18228971,2016-07-13 05:00:00,0.0338
short_range,18228971,2016-07-13 06:00:00,0.0338
short_range,18228971,2016-07-13 07:00:00,0.0337
short_range,18228971,2016-07-13 08:00:00,0.0337
short_range,18228971,2016-07-13 09:00:00,0.0337
short_range,18228971,2016-07-13 10:00:00,0.0337
short_range,18228971,2016-07-13 11:00:00,0.0337
short_range,18228971,2016-07-13 12:00:00,0.0336
short_range,18228971,2016-07-13 13:00:00,0.0336
short_range,18228971,2016-07-13 14:00:00,0.0336
short_range,18228971,2016-07-13 15:00:00,0.0336
short_range,18228903,2016-07-13 01:00:00,0.2644
short_range,18228903,2016-07-13 02:00:00,0.2566
short_range,18228903,2016-07-13 03:00:00,0.2564
short_range,18228903,2016-07-13 04:00:00,0.2562
short_range,18228903,2016-07-13 05:00:00,0.256
short_range,18228903,2016-07-13 06:00:00,0.2558
short_range,18228903,2016-07-13 07:00:00,0.2556
short_range,18228903,2016-07-13 08:00:00,0.2554
short_range,18228903,2016-07-13 09:00:00,0.2552
short_range,18228903,2016-07-13 10:00:00,0.255
short_range,18228903,2016-07-13 11:00:00,0.2548
short_range,18228903,2016-07-13 12:00:00,0.2547
short_range,18228903,2016-07-13 13:00:00,0.2545
short_range,18228903,2016-07-13 14:00:00,0.2543
short_range,18228903,2016-07-13 15:00:00,0.2541
short_range,18228961,2016-07-13 01:00:00,0.0174
short_range,18228961,2016-07-13 02:00:00,0.0124
short_range,18228961,2016-07-13 03:00:00,0.0124
short_range,18228961,2016-07-13 04:00:00,0.0124
short_range,18228961,2016-07-13 05:00:00,0.0124
short_range,18228961,2016-07-13 06:00:00,0.0124
short_range,18228961,2016-07-13 07:00:00,0.0124
short_range,18228961,2016-07-13 08:00:00,0.0124
short_range,18228961,2016-07-13 09:00:00,0.0124
short_range,18228961,2016-07-13 10:00:00,0.0124
short_range,18228961,2016-07-13 11:00:00,0.0124
short_range,18228961,2016-07-13 12:00:00,0.0124
short_range,18228961,2016-07-13 13:00:00,0.0123
short_range,18228961,2016-07-13 14:00:00,0.0123
short_range,18228961,2016-07-13 15:00:00,0.0123
short_range,18229967,2016-07-13 01:00:00,0.0151
short_range,18229967,2016-07-13 02:00:00,0.0096
short_range,18229967,2016-07-13 03:00:00,0.0096
short_range,18229967,2016-07-13 04:00:00,0.0096
short_range,18229967,2016-07-13 05:00:00,0.0096
short_range,18229967,2016-07-13 06:00:00,0.0096
short_range,18229967,2016-07-13 07:00:00,0.0096
short_range,18229967,2016-07-13 08:00:00,0.0096
short_range,18229967,2016-07-13 09:00:00,0.0096
short_range,18229967,2016-07-13 10:00:00,0.0096
short_range,18229967,2016-07-13 11:00:00,0.0096
short_range,18229967,2016-07-13 12:00:00,0.0096
short_range,18229967,2016-07-13 13:00:00,0.0096
short_range,18229967,2016-07-13 14:00:00,0.0096
short_range,18229967,2016-07-13 15:00:00,0.0095
short_range,18229047,2016-07-13 01:00:00,0.012
short_range,18229047,2016-07-13 02:00:00,0.0123
short_range,18229047,2016-07-13 03:00:00,0.0128
short_range,18229047,2016-07-13 04:00:00,0.0128
short_range,18229047,2016-07-13 05:00:00,0.0128
short_range,18229047,2016-07-13 06:00:00,0.0127
short_range,18229047,2016-07-13 07:00:00,0.0127
short_range,18229047,2016-07-13 08:00:00,0.0127
short_range,18229047,2016-07-13 09:00:00,0.0127
short_range,18229047,2016-07-13 10:00:00,0.0127
short_range,18229047,2016-07-13 11:00:00,0.0127
short_range,18229047,2016-07-13 12:00:00,0.0127
short_range,18229047,2016-07-13 13:00:00,0.0127
